37,0,0,10 -> {'female': {'female': 37}, 'male': {'female': 22}, 'other': {'female': 41}}
37,0,0,11 -> {'female': {'female': 37}, 'male': {'female': 22}, 'other': {'female': 41}}
37,0,0,12 -> {'female': {'female': 37}, 'male': {'female': 22}, 'other': {'female': 41}}
37,0,0,13 -> {'female': {'female': 37}, 'male': {'female': 22}, 'other': {'female': 41}}
34,2,2,14 -> {'female': {'female': 34, 'other': 3}, 'male': {'female': 20, 'male': 2}, 'other': {'female': 39, 'other': 2}}
34,0,2,15 -> {'female': {'female': 34, 'other': 3}, 'male': {'female': 22}, 'other': {'female': 39, 'other': 2}}
37,0,0,16 -> {'female': {'female': 37}, 'male': {'female': 22}, 'other': {'female': 41}}
35,0,1,17 -> {'female': {'female': 35, 'other': 2}, 'male': {'female': 22}, 'other': {'female': 40, 'other': 1}}
19,15,3,18 -> {'female': {'female': 19, 'male': 15, 'other': 3}, 'male': {'female': 7, 'male': 15}, 'other': {'female': 18, 'male': 20, 'other': 3}}
0,22,2,19 -> {'female': {'male': 34, 'other': 3}, 'male': {'male': 22}, 'other': {'male': 39, 'other': 2}}
32,13,3,20 -> {'female': {'female': 32, 'male': 2, 'other': 3}, 'male': {'female': 9, 'male': 13}, 'other': {'female': 30, 'male': 8, 'other': 3}}
34,0,3,21 -> {'female': {'female': 34, 'other': 3}, 'male': {'female': 22}, 'other': {'female': 38, 'other': 3}}
34,0,3,22 -> {'female': {'female': 34, 'other': 3}, 'male': {'female': 22}, 'other': {'female': 38, 'other': 3}}
34,0,3,23 -> {'female': {'female': 34, 'other': 3}, 'male': {'female': 22}, 'other': {'female': 38, 'other': 3}}
34,0,3,24 -> {'female': {'female': 34, 'other': 3}, 'male': {'female': 22}, 'other': {'female': 38, 'other': 3}}
34,0,3,25 -> {'female': {'female': 34, 'other': 3}, 'male': {'female': 22}, 'other': {'female': 38, 'other': 3}}
34,0,4,26 -> {'female': {'female': 34, 'other': 3}, 'male': {'female': 22}, 'other': {'female': 37, 'other': 4}}
34,0,4,27 -> {'female': {'female': 34, 'other': 3}, 'male': {'female': 22}, 'other': {'female': 37, 'other': 4}}
34,0,3,28 -> {'female': {'female': 34, 'other': 3}, 'male': {'female': 22}, 'other': {'female': 38, 'other': 3}}
34,0,3,29 -> {'female': {'female': 34, 'other': 3}, 'male': {'female': 22}, 'other': {'female': 38, 'other': 3}}
34,0,3,30 -> {'female': {'female': 34, 'other': 3}, 'male': {'female': 22}, 'other': {'female': 38, 'other': 3}}
34,0,3,31 -> {'female': {'female': 34, 'other': 3}, 'male': {'female': 22}, 'other': {'female': 38, 'other': 3}}
34,0,2,32 -> {'female': {'female': 34, 'other': 3}, 'male': {'female': 22}, 'other': {'female': 39, 'other': 2}}
34,0,2,33 -> {'female': {'female': 34, 'other': 3}, 'male': {'female': 22}, 'other': {'female': 39, 'other': 2}}
36,0,1,34 -> {'female': {'female': 36, 'other': 1}, 'male': {'female': 22}, 'other': {'female': 40, 'other': 1}}
34,0,2,35 -> {'female': {'female': 34, 'other': 3}, 'male': {'female': 22}, 'other': {'female': 39, 'other': 2}}
34,0,2,36 -> {'female': {'female': 34, 'other': 3}, 'male': {'female': 22}, 'other': {'female': 39, 'other': 2}}
34,0,3,37 -> {'female': {'female': 34, 'other': 3}, 'male': {'female': 22}, 'other': {'female': 38, 'other': 3}}
34,0,3,38 -> {'female': {'female': 34, 'other': 3}, 'male': {'female': 22}, 'other': {'female': 38, 'other': 3}}
